"index";"Company";"TypeName";"Inches";"ScreenResolution";"resolution_width";"resolution_height";"touchscreen";"Cpu";"cpu_brand";"cpu_name";"cpu_speed";"Ram";"Memory";"memory_type";"primary_storage";"secondary_storage";"Gpu";"OpSys";"Weight";"Price";"ppi"
0;"Apple";"Ultrabook";13.3;"IPS Panel Retina Display 2560x1600";2560;1600;0;"Intel Core i5 2.3GHz";"Intel";"Core i5";2.3;8;"128GB SSD";"SSD";128;0;"Intel";"macos";13;71379;227
1;"Apple";"Ultrabook";13.3;"1440x900";1440;900;0;"Intel Core i5 1.8GHz";"Intel";"Core i5";1.8;8;"128GB Flash Storage";"Flash Storage";128;0;"Intel";"macos";13;47896;128
2;"HP";"Notebook";15.6;"Full HD 1920x1080";1920;1080;0;"Intel Core i5 7200U 2.5GHz";"Intel";"Core i5";2.5;8;"256GB SSD";"SSD";256;0;"Intel";"N/A";16;30636;141
3;"Apple";"Ultrabook";15.4;"IPS Panel Retina Display 2880x1800";2880;1800;0;"Intel Core i7 2.7GHz";"Intel";"Core i7";2.7;16;"512GB SSD";"SSD";512;0;"AMD";"macos";15;135195;221
4;"Apple";"Ultrabook";13.3;"IPS Panel Retina Display 2560x1600";2560;1600;0;"Intel Core i5 3.1GHz";"Intel";"Core i5";3.1;8;"256GB SSD";"SSD";256;0;"Intel";"macos";13;96096;227
5;"Acer";"Notebook";15.6;"1366x768";1366;768;0;"AMD A9-Series 9420 3GHz";"AMD";"A9-Series 9420";3.0;4;"500GB HDD";"HDD";500;0;"AMD";"windows";16;21312;100
6;"Apple";"Ultrabook";15.4;"IPS Panel Retina Display 2880x1800";2880;1800;0;"Intel Core i7 2.2GHz";"Intel";"Core i7";2.2;16;"256GB Flash Storage";"Flash Storage";256;0;"Intel";"macos";15;114018;221
7;"Apple";"Ultrabook";13.3;"1440x900";1440;900;0;"Intel Core i5 1.8GHz";"Intel";"Core i5";1.8;8;"256GB Flash Storage";"Flash Storage";256;0;"Intel";"macos";13;84421;128
8;"Asus";"Ultrabook";14.0;"Full HD 1920x1080";1920;1080;0;"Intel Core i7 8550U 1.8GHz";"Intel";"Core i7";1.8;16;"512GB SSD";"SSD";512;0;"Nvidia";"windows";14;79654;157
9;"Acer";"Ultrabook";14.0;"IPS Panel Full HD 1920x1080";1920;1080;0;"Intel Core i5 8250U 1.6GHz";"Intel";"Core i5";1.6;8;"256GB SSD";"SSD";256;0;"Intel";"windows";14;41026;157
10;"HP";"Notebook";15.6;"1366x768";1366;768;0;"Intel Core i5 7200U 2.5GHz";"Intel";"Core i5";2.5;4;"500GB HDD";"HDD";500;0;"Intel";"N/A";16;20987;100
11;"HP";"Notebook";15.6;"Full HD 1920x1080";1920;1080;0;"Intel Core i3 6006U 2GHz";"Intel";"Core i3";2.0;4;"500GB HDD";"HDD";500;0;"Intel";"N/A";16;18381;141
12;"Apple";"Ultrabook";15.4;"IPS Panel Retina Display 2880x1800";2880;1800;0;"Intel Core i7 2.8GHz";"Intel";"Core i7";2.8;16;"256GB SSD";"SSD";256;0;"AMD";"macos";15;130002;221
13;"Dell";"Notebook";15.6;"Full HD 1920x1080";1920;1080;0;"Intel Core i3 6006U 2GHz";"Intel";"Core i3";2.0;4;"256GB SSD";"SSD";256;0;"AMD";"windows";16;26581;141
14;"Apple";"Ultrabook";12.0;"IPS Panel Retina Display 2304x1440";2304;1440;0;"Intel Core M m3 1.2GHz";"Intel";"Core M";1.2;8;"256GB SSD";"SSD";256;0;"Intel";"macos";12;67261;226
15;"Apple";"Ultrabook";13.3;"IPS Panel Retina Display 2560x1600";2560;1600;0;"Intel Core i5 2.3GHz";"Intel";"Core i5";2.3;8;"256GB SSD";"SSD";256;0;"Intel";"macos";13;80908;227
16;"Dell";"Notebook";15.6;"Full HD 1920x1080";1920;1080;0;"Intel Core i7 7500U 2.7GHz";"Intel";"Core i7";2.7;8;"256GB SSD";"SSD";256;0;"AMD";"windows";16;39694;141
17;"Apple";"Ultrabook";15.4;"IPS Panel Retina Display 2880x1800";2880;1800;0;"Intel Core i7 2.9GHz";"Intel";"Core i7";2.9;16;"512GB SSD";"SSD";512;0;"AMD";"macos";15;152274;221
18;"Lenovo";"Notebook";15.6;"Full HD 1920x1080";1920;1080;0;"Intel Core i3 7100U 2.4GHz";"Intel";"Core i3";2.4;8;"1TB HDD";"HDD";1024;0;"Nvidia";"N/A";16;26587;141
19;"Dell";"Ultrabook";13.3;"IPS Panel Full HD / Touchscreen 1920x1080";1920;1080;1;"Intel Core i5 8250U 1.6GHz";"Intel";"Core i5";1.6;8;"128GB SSD";"SSD";128;0;"Intel";"windows";13;52161;166
21;"Lenovo";"Gaming";15.6;"IPS Panel Full HD 1920x1080";1920;1080;0;"Intel Core i5 7300HQ 2.5GHz";"Intel";"Core i5";2.5;8;"128GB SSD +  1TB HDD";"Hybrid";128;1024;"Nvidia";"windows";16;53227;141
22;"HP";"Notebook";15.6;"1366x768";1366;768;0;"AMD E-Series E2-9000e 1.5GHz";"AMD";"E-Series E2-9000e";1.5;4;"500GB HDD";"HDD";500;0;"AMD";"N/A";16;13746;100
